host,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h1,36.862369,0.996128,24.120767,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,32.694799,0.989303,19.707364,67209812,67108864,100948,0.1501983073542893,1,h10
h3,26.890008,0.975645,16.134129,67209812,65536000,1673812,2.490428034525673,1,h10
h4,26.051045,0.967388,14.866233,67209812,62390272,4819540,7.170887488868441,1,h10
h5,25.562017,0.960809,14.068191,67209812,60030976,7178836,10.681232079625516,1,h10
h6,21.20178,0.9417,12.343329,67209812,59244544,7965268,11.851346943211208,1,h10
h1,36.445123,0.995107,23.10455,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,24.574642,0.978178,16.611005,67209812,67108864,100948,0.1501983073542893,1,h10
h3,28.223689,0.976373,16.266002,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,25.703021,0.967169,14.83713,67209812,62652416,4557396,6.780849201006543,1,h10
h5,25.612818,0.96222,14.227325,67209812,60293120,6916692,10.29119379176362,1,h10
h6,21.112918,0.939128,12.155832,67209812,59244544,7965268,11.851346943211208,1,h10
h1,36.097053,0.995473,23.441949,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,32.326409,0.991049,20.481421,67209812,67108864,100948,0.1501983073542893,1,h10
h3,27.579511,0.973884,15.830963,67209812,65798144,1411668,2.1003897466637755,1,h10
h4,26.011829,0.969332,15.133146,67209812,62652416,4557396,6.780849201006543,1,h10
h5,25.684578,0.963775,14.409971,67209812,60030976,7178836,10.681232079625516,1,h10
h6,21.087015,0.940528,12.256875,67209812,59244544,7965268,11.851346943211208,1,h10
h1,36.849039,0.996099,24.088581,67209812,67371008,-161196,-0.239839980507608,1,h10
h2,34.064668,0.991621,20.768115,67209812,67108864,100948,0.1501983073542893,1,h10
h3,27.516979,0.974915,16.005834,67209812,65536000,1673812,2.490428034525673,1,h10
h4,25.745898,0.967057,14.822428,67209812,62652416,4557396,6.780849201006543,1,h10
h5,25.20661,0.961427,14.137156,67209812,60293120,6916692,10.29119379176362,1,h10
h6,21.186363,0.942214,12.38181,67209812,59244544,7965268,11.851346943211208,1,h10
h1,33.758619,0.991845,20.885679,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,30.173592,0.983697,17.877346,67209812,66846720,363092,0.5402365952161866,1,h14
h3,27.186354,0.970408,15.288235,67209812,65011712,2198100,3.270504610249468,1,h14
h4,24.899633,0.959172,13.890389,67209812,61603840,5605972,8.341002352454133,1,h14
h5,24.826518,0.959703,13.947253,67209812,59768832,7440980,11.071270367487411,1,h14
h6,21.057967,0.938577,12.116702,67209812,58720256,8489556,12.631423518935003,1,h14
h1,32.29654,0.991172,20.54139,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,28.708315,0.98105,17.223945,67209812,66584576,625236,0.930274883078084,1,h14
h3,26.116856,0.968038,14.953653,67209812,65011712,2198100,3.270504610249468,1,h14
h4,24.836114,0.95885,13.856274,67209812,61865984,5343828,7.950964064592235,1,h14
h5,23.772102,0.9549,13.458197,67209812,59506688,7703124,11.461308655349312,1,h14
h6,20.70984,0.939284,12.166971,67209812,58458112,8751700,13.0214618067969,1,h14
h1,28.048924,0.981422,17.310069,67209812,67108864,100948,0.1501983073542893,1,h14
h2,22.395162,0.961338,14.127162,67209812,66584576,625236,0.930274883078084,1,h14
h3,26.074128,0.962323,14.239266,67209812,65011712,2198100,3.270504610249468,1,h14
h4,24.049849,0.954657,13.434893,67209812,61865984,5343828,7.950964064592235,1,h14
h5,23.572614,0.952396,13.223541,67209812,59768832,7440980,11.071270367487411,1,h14
h6,21.014035,0.934084,11.810119,67209812,58720256,8489556,12.631423518935003,1,h14
h1,31.651995,0.989228,19.676929,67209812,67371008,-161196,-0.239839980507608,1,h14
h2,30.67805,0.984438,18.079303,67209812,66846720,363092,0.5402365952161866,1,h14
h3,26.062079,0.967125,14.831309,67209812,64749568,2460244,3.660542898111365,1,h14
h4,25.161638,0.958537,13.823385,67209812,61865984,5343828,7.950964064592235,1,h14
h5,24.72232,0.95777,13.743836,67209812,59768832,7440980,11.071270367487411,1,h14
h6,20.942153,0.936477,11.970663,67209812,58982400,8227412,12.241385231073105,1,h14
h1,30.937054,0.989638,19.84569,67209812,67108864,100948,0.1501983073542893,2,h14
h2,30.787183,0.989861,19.940042,67209812,67108864,100948,0.1501983073542893,2,h10
h3,31.839028,0.985807,18.479322,67209812,66322432,887380,1.3203131709399811,2,h14
h4,32.106134,0.988349,19.336331,67209812,66584576,625236,0.930274883078084,2,h10
h5,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,17.198782,0.722201,5.562693,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,21.001306,0.850127,8.242766,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h2,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h3,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h4,37.410686,0.99612,24.111276,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,40.711989,0.998609,28.566694,67209812,67371008,-161196,-0.239839980507608,2,h14
h6,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h10
h1,25.838754,0.97379,15.815364,67209812,65536000,1673812,2.490428034525673,2,h14
h2,28.066097,0.971484,15.449167,67209812,64225280,2984532,4.440619473835159,2,h10
h3,8.27017,0.488138,2.908475,67209812,136314880,-69105068,-102.8199096881866,2,h14
h4,39.644817,0.998464,28.134703,67209812,67371008,-161196,-0.239839980507608,2,h10
h5,28.521715,0.973848,15.824993,67209812,65273856,1935956,2.88046632238757,2,h14
h6,24.955063,0.955184,13.48569,67209812,64225280,2984532,4.440619473835159,2,h10
h1,25.290356,0.966174,14.707453,67209812,65011712,2198100,3.270504610249468,2,h10
h2,25.192391,0.970024,15.232306,67209812,64225280,2984532,4.440619473835159,2,h14
h3,27.347345,0.974767,15.980336,67209812,66060288,1149524,1.7103514588018789,2,h10
h4,26.294658,0.966494,14.748802,67209812,64225280,2984532,4.440619473835159,2,h14
h5,27.366571,0.972365,15.585428,67209812,64749568,2460244,3.660542898111365,2,h10
h6,39.783083,0.998489,28.207368,67209812,67371008,-161196,-0.239839980507608,2,h14
h1,37.654759,0.997467,25.963433,67209812,67371008,-161196,-0.239839980507608,2,h10
h2,37.351523,0.99622,24.224606,67209812,67371008,-161196,-0.239839980507608,2,h14
h3,36.942535,0.996075,24.06151,67209812,67371008,-161196,-0.239839980507608,2,h10
h4,38.830133,0.997189,25.512056,67209812,67371008,-161196,-0.239839980507608,2,h14
h5,35.566956,0.995462,23.430899,67209812,67371008,-161196,-0.239839980507608,2,h10
